DanteMustDie8907,Guilty Crown,10793,7
DanteMustDie8907,Fate/stay night,356,4
DanteMustDie8907,Akame ga Kill!,22199,8
Darkmoq,Sword Art Online,11757,5
Darkmoq,Btooom!,14345,7
Darkmoq,Zero no Tsukaima,1195,7
Darkmoq,Accel World,11759,4
Darkmoq,Gantz,384,5
Darkmoq,B-gata H-kei,7817,8
Darkmoq,Itazura na Kiss,3731,3
DarknessReality,Mahouka Koukou no Rettousei,20785,10
DarknessReality,Aldnoah.Zero,22729,10
DarknessReality,Btooom!,14345,10
DarknessReality,Tokyo Ghoul √A,27899,10
DarknessReality,Goblin Slayer,37349,8
DarknessReality,Fate/Apocrypha,34662,9
DarknessReality,Itazura na Kiss,3731,10
DerekUrban,Btooom!,14345,8
DerekUrban,Guilty Crown,10793,7
DerekUrban,B-gata H-kei,7817,7
DerekUrban,Shuffle!,79,7
DerpyWerpy,Sword Art Online,11757,10
DerpyWerpy,Sword Art Online II,21881,10
DerpyWerpy,Sword Art Online: Alicization,36474,10
DesolatePsyche,Juuni Taisen,35076,6
DesolatePsyche,Isekai wa Smartphone to Tomo ni.,35203,7
DesolatePsyche,Masamune-kun no Revenge,33487,7
DesolatePsyche,Eromanga-sensei,32901,7
DeSwitch,IS: Infinite Stratos,9041,6
DeSwitch,Elfen Lied,226,9
DeSwitch,C: The Money of Soul and Possibility Control,10163,5
DeSwitch,Shuffle!,79,9
DeSwitch,Vampire Knight,3457,7
DeSwitch,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,7
Detective,Highschool of the Dead,8074,8
Detective,C: The Money of Soul and Possibility Control,10163,5
Detective,Akame ga Kill!,22199,2
Diassia,Elfen Lied,226,10
Diassia,Akame ga Kill!,22199,6
Diassia,Itazura na Kiss,3731,5
Diassia,Vampire Knight,3457,8
dim100,IS: Infinite Stratos,9041,7
dim100,Mahouka Koukou no Rettousei,20785,7
dim100,Arifureta Shokugyou de Sekai Saikyou,36882,6
dim100,Death March kara Hajimaru Isekai Kyousoukyoku,34497,6
Dionkeykong,Highschool of the Dead,8074,4
Dionkeykong,Shuffle!,79,4
Dionkeykong,Gamers!,34280,3
Dionkeykong,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,10
DiscoMilf,Akame ga Kill!,22199,3
DiscoMilf,Highschool of the Dead,8074,1
DiscoMilf,Tokyo Ghoul √A,27899,1
DiscoMilf,One Punch Man 2nd Season,34134,3
DJM47,Darling in the FranXX,35849,6
DJM47,Black Clover,34572,6
DJM47,High School DxD,11617,6
DJM47,Gamers!,34280,6
DJNOSTYLE,Akame ga Kill!,22199,8
DJNOSTYLE,Tokyo Ghoul √A,27899,8
DJNOSTYLE,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,5
DoomRanger,Boruto: Naruto Next Generations,34566,8
DoomRanger,Mahouka Koukou no Rettousei,20785,8
DoomRanger,Dragon Ball Super,30694,8
DoomRanger,One Punch Man 2nd Season,34134,8
DoomRanger,Accel World,11759,3
DoomRanger,Isekai wa Smartphone to Tomo ni.,35203,4
Drevorn,Highschool of the Dead,8074,5
Drevorn,High School DxD,11617,9
Drevorn,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,5
Dunedane,Sword Art Online,11757,10
Dunedane,Mahouka Koukou no Rettousei,20785,9
Dunedane,Absolute Duo,25397,5
Dwarfking45,Highschool of the Dead,8074,6
Dwarfking45,Sword Art Online,11757,8
Dwarfking45,Elfen Lied,226,9
Eanki,Goblin Slayer,37349,4
Eanki,Masamune-kun no Revenge,33487,3
Eanki,Gamers!,34280,6
earl_of_sandvich,Mahouka Koukou no Rettousei,20785,8
earl_of_sandvich,Sword Art Online,11757,7
earl_of_sandvich,Sword Art Online II,21881,6
EbiNewin,Akame ga Kill!,22199,8
EbiNewin,Highschool of the Dead,8074,7
EbiNewin,Sword Art Online,11757,7
EbiNewin,Sword Art Online II,21881,7
EbiNewin,Fate/stay night,356,6
EbiNewin,Rokka no Yuusha,28497,7
EbiNewin,Rakudai Kishi no Cavalry,30296,8
EbiNewin,Himouto! Umaru-chan,28825,6
edwindza,Isekai wa Smartphone to Tomo ni.,35203,6
edwindza,Masamune-kun no Revenge,33487,6
edwindza,Gamers!,34280,5
elc1247,Gantz,384,5
elc1247,Fate/stay night,356,9
elc1247,Elfen Lied,226,9
Empyreanpain,Absolute Duo,25397,7
Empyreanpain,Arifureta Shokugyou de Sekai Saikyou,36882,8
Empyreanpain,Isekai wa Smartphone to Tomo ni.,35203,7
Empyreanpain,High School DxD,11617,8
End,Btooom!,14345,8
End,Elfen Lied,226,8
End,Rokka no Yuusha,28497,8
EnZanity,Re:Creators,34561,6
EnZanity,Juuni Taisen,35076,6
EnZanity,Masamune-kun no Revenge,33487,2
Eoussama,Deadman Wonderland,6880,7
Eoussama,Akame ga Kill!,22199,5
Eoussama,Goblin Slayer,37349,7
Eoussama,One Punch Man 2nd Season,34134,8
Eoussama,Arifureta Shokugyou de Sekai Saikyou,36882,3
Eoussama,Himouto! Umaru-chan,28825,7
Eoussama,High School DxD,11617,7
EpicSawce,Highschool of the Dead,8074,4
EpicSawce,Sword Art Online II,21881,7
EpicSawce,Aldnoah.Zero,22729,8
ethann,Zero no Tsukaima,1195,9
ethann,Itazura na Kiss,3731,9
ethann,Vampire Knight,3457,7
Evillordexdeath,Sword Art Online,11757,3
Evillordexdeath,K,14467,7
Evillordexdeath,Rakudai Kishi no Cavalry,30296,6
Evillordexdeath,Sword Art Online II,21881,3
explicit707,Highschool of the Dead,8074,8
explicit707,Sword Art Online,11757,10
explicit707,Deadman Wonderland,6880,8
explicit707,Fate/stay night,356,7
explicit707,Guilty Crown,10793,7
explicit707,Elfen Lied,226,8
explicit707,Btooom!,14345,8
explicit707,K,14467,7
FalseShepherd13,Gantz,384,6
FalseShepherd13,Highschool of the Dead,8074,8
FalseShepherd13,Aldnoah.Zero,22729,3
Fear_the_Reefer,Blood-C,10490,4
Fear_the_Reefer,Elfen Lied,226,5
